"Nama Varieti","Gred","Unit","Harga Tinggi","Harga Purata","Harga Rendah","Pusat","Negeri","Tarikh"
"BAWANG MERAH KECIL (THAI)","F.A.Q","KILOGRAM","15.00",14.5,14," JOHOR BAHRU"," JOHOR",2016-01-21
"BAYAM HIJAU","F.A.Q","KILOGRAM","5.00",4.5,4," JOHOR BAHRU"," JOHOR",2016-01-21
"BUNGA KANTAN","F.A.Q","TANGKAI","1.50",1.35,1.2," JOHOR BAHRU"," JOHOR",2016-01-21
"CILI HIJAU","F.A.Q","KILOGRAM","11.00",10.5,10," JOHOR BAHRU"," JOHOR",2016-01-21
"CILI MERAH KULAI","F.A.Q","KILOGRAM","13.00",12,11," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN BAWANG","F.A.Q","KILOGRAM","6.00",5.5,5," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN KOBIS/KOBIS PANJANG (TEMPATAN)","F.A.Q","KILOGRAM","6.00",5.5,5," JOHOR BAHRU"," JOHOR",2016-01-21
"DAUN SUP/SADRI CINA TEMPATAN TANAH TINGGI","F.A.Q","KILOGRAM","7.50",7,6.5," JOHOR BAHRU"," JOHOR",2016-01-21
"HALIA MUDA","F.A.Q","KILOGRAM","12.00",11,10," JOHOR BAHRU"," JOHOR",2016-01-21
"HALIA TUA","F.A.Q","KILOGRAM","9.00",8.5,8," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG BENDI","F.A.Q","KILOGRAM","7.50",7.25,7," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG BUNCIS","F.A.Q","KILOGRAM","9.50",9,8.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KACANG PANJANG HIJAU","F.A.Q","KILOGRAM","6.50",6,5.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KAILAN","F.A.Q","KILOGRAM","5.50",5,4.5," JOHOR BAHRU"," JOHOR",2016-01-21
"KANGKUNG/KANGKONG","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"KETOLA SEGI","F.A.Q","KILOGRAM","5.50",5.25,5," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (CHINA)","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (INDONESIA)","F.A.Q","KILOGRAM","3.50",3.25,3," JOHOR BAHRU"," JOHOR",2016-01-21
"KOBIS BULAT (TANAH TINGGI)","F.A.Q","KILOGRAM","4.50",4.25,4," JOHOR BAHRU"," JOHOR",2016-01-21
"LOBAK MERAH (IMPORT)","F.A.Q","KILOGRAM","5.00",4.5,4," JOHOR BAHRU"," JOHOR",2016-01-21
"SALAD BULAT TANAH TINGGI","F.A.Q","KILOGRAM","10.00",9.5,9," JOHOR BAHRU"," JOHOR",2016-01-21
"SALAD TANAH RENDAH","F.A.Q","KILOGRAM","11.00",10.5,10," JOHOR BAHRU"," JOHOR",2016-01-21
